m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,AB_pred
0.2,15,0.04,-3.6260924660000002,-1.5869135019999998,3.113515309,2.3025850930000002,8.517193191,0.0,1.732516551,6.214608097999999,5.526587
0.5,20,0.08,-3.63212112,-1.3966841490000002,4.6051701860000005,2.3025850930000002,8.517193191,0.0,2.4256637309999998,6.214608097999999,11.242069
0.5,15,0.04,-3.545991967,-1.4622945840000001,4.0298060410000005,3.218875825,8.517193191,0.0,1.955660102,5.298317367,7.1493645
0.1,20,0.04,-4.71721969,-2.370221742,2.995732274,2.3025850930000002,8.517193191,-2.3025850930000002,1.732516551,6.214608097999999,5.643264
0.5,15,0.04,-3.545991967,-1.4622945840000001,4.0298060410000005,3.218875825,8.517193191,0.0,1.955660102,5.298317367,7.0564094
0.5,10,0.04,-3.111367617,-1.453511667,3.218875825,2.3025850930000002,8.517193191,0.0,1.732516551,6.214608097999999,5.323041
0.5,20,0.04,-3.310443018,-0.973358562,4.6051701860000005,3.218875825,8.517193191,0.0,1.955660102,5.298317367,7.022112
0.5,15,0.04,-4.723953722,-2.566602724,4.0298060410000005,3.218875825,9.433483922999999,-1.609437912,2.648807283,6.214608097999999,14.18063
0.5,15,0.04,-3.649658741,-1.559829036,4.0298060410000005,3.218875825,9.433483922999999,0.0,2.648807283,6.214608097999999,13.847569
0.2,15,0.04,-4.377238118,-2.29188257,3.113515309,3.218875825,9.433483922999999,0.0,2.648807283,6.214608097999999,13.561326
0.2,20,0.04,-5.306349538,-2.8023389030000003,3.688879454,3.218875825,9.433483922999999,-1.609437912,2.648807283,6.214608097999999,13.81072
0.2,15,0.04,-5.146455017,-2.885336456,3.113515309,3.218875825,9.433483922999999,-2.3025850930000002,2.648807283,6.214608097999999,13.727386
0.2,20,0.04,-4.958992061,-2.524679195,3.688879454,3.218875825,9.433483922999999,-2.3025850930000002,2.648807283,6.214608097999999,13.941796
0.2,20,0.04,-4.958992061,-2.524679195,3.688879454,3.218875825,9.433483922999999,-2.3025850930000002,2.648807283,6.214608097999999,14.049951
0.2,20,0.04,-4.198372633,-1.852121126,3.688879454,3.218875825,9.433483922999999,0.0,2.648807283,6.214608097999999,13.452946
0.5,10,0.04,-3.9040548360000003,-2.1904714309999997,3.218875825,3.218875825,9.433483922999999,0.0,2.648807283,6.214608097999999,13.441343
0.2,15,0.04,-5.146455017,-2.885336456,3.113515309,3.218875825,9.433483922999999,-2.3025850930000002,2.648807283,6.214608097999999,13.987486
0.5,15,0.04,-3.649658741,-1.559829036,4.0298060410000005,3.218875825,9.433483922999999,0.0,2.648807283,6.214608097999999,14.1093235
0.2,10,0.04,-2.437717767,-0.936932311,2.3025850930000002,0.0,5.298317367,-2.3025850930000002,-1.263215723,5.298317367,0.2825403
0.5,15,0.08,-3.01023696,-1.13576602,4.0298060410000005,0.0,6.214608097999999,-1.609437912,0.123078638,6.214608097999999,1.1308237
0.5,5,0.04,-2.0396056330000003,-1.081472026,1.832581464,0.0,5.298317367,-2.3025850930000002,-1.263215723,5.298317367,0.2827502
0.5,10,0.08,-2.864002503,-1.3632343,3.218875825,0.0,4.6051701860000005,-1.609437912,-0.97553365,4.6051701860000005,0.38214296
0.1,10,0.04,-2.873160721,-1.4432118630000002,1.609437912,0.0,4.6051701860000005,-2.3025850930000002,-1.6686808309999999,4.6051701860000005,0.18812981
0.5,15,0.08,-3.01023696,-1.13576602,4.0298060410000005,0.0,6.214608097999999,-1.609437912,0.123078638,6.214608097999999,1.1370951
0.5,5,0.04,-2.686484423,-1.6917548709999999,1.832581464,0.0,6.214608097999999,-1.609437912,-0.570068542,6.214608097999999,0.5646152
0.2,10,0.08,-3.6045383060000002,-2.084639025,2.3025850930000002,0.0,4.6051701860000005,-1.609437912,-0.97553365,4.6051701860000005,0.38249242
0.1,5,0.04,-3.711534145,-2.6731851140000003,0.22314355100000002,0.0,6.214608097999999,-2.3025850930000002,-0.570068542,6.214608097999999,0.55691606
0.5,5,0.04,-2.261059346,-1.2858772440000001,1.832581464,0.0,6.214608097999999,-2.3025850930000002,-0.570068542,6.214608097999999,0.5753048
0.1,5,0.04,-2.8271716319999998,-1.9139542219999999,0.22314355100000002,0.0,5.298317367,0.0,-1.263215723,5.298317367,0.28351495
0.5,20,0.08,-3.796910198,-1.527968531,4.6051701860000005,1.609437912,7.824046011,-2.3025850930000002,1.732516551,6.214608097999999,5.560367
0.1,10,0.04,-4.495419322,-2.7453160260000002,1.609437912,1.609437912,6.907755279,-2.3025850930000002,0.34622219,5.298317367,1.3924454
0.2,20,0.04,-3.583438942,-1.302865393,3.688879454,1.609437912,7.824046011,-2.3025850930000002,1.03936937,6.214608097999999,2.7891579
0.1,10,0.04,-4.601178165,-2.827644877,1.609437912,1.609437912,7.824046011,-2.3025850930000002,1.03936937,6.214608097999999,2.8299813
0.5,10,0.04,-3.464776363,-1.787942762,3.218875825,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367,1.4225174
0.5,20,0.08,-3.50789212,-1.3203568190000001,4.6051701860000005,1.609437912,6.214608097999999,-2.3025850930000002,0.633904262,4.6051701860000005,1.9195979
0.2,15,0.04,-3.6840909369999997,-1.6744245340000001,3.113515309,1.609437912,6.214608097999999,-1.609437912,-0.059242918,4.6051701860000005,0.96062213
0.5,5,0.04,-2.894259305,-1.879856526,1.832581464,1.609437912,6.907755279,0.0,0.34622219,5.298317367,1.400483
0.5,20,0.08,-3.654284809,-1.4118337319999998,4.6051701860000005,1.609437912,6.907755279,-2.3025850930000002,1.03936937,5.298317367,2.898928
0.5,20,0.08,-3.796910198,-1.527968531,4.6051701860000005,1.609437912,7.824046011,-2.3025850930000002,1.732516551,6.214608097999999,5.5568705
0.2,10,0.04,-3.207441447,-1.570140279,2.3025850930000002,1.609437912,6.907755279,0.0,0.34622219,5.298317367,1.4123796
0.2,15,0.04,-4.230851807,-2.15254571,3.113515309,2.3025850930000002,7.60090246,-2.3025850930000002,1.03936937,5.298317367,2.9515426
0.5,15,0.04,-2.697703909,-0.673697557,4.0298060410000005,2.3025850930000002,7.60090246,0.0,1.03936937,5.298317367,2.8116164
0.2,10,0.04,-3.695300022,-2.02286463,2.3025850930000002,2.3025850930000002,6.907755279,0.0,0.633904262,4.6051701860000005,1.9102907
0.2,15,0.04,-3.524043212,-1.4972169830000002,3.113515309,2.3025850930000002,7.60090246,0.0,1.03936937,5.298317367,2.8507435
0.2,15,0.04,-3.3991993789999997,-1.3909451590000002,3.113515309,2.3025850930000002,6.907755279,0.0,0.633904262,4.6051701860000005,1.8737974
0.1,15,0.04,-5.210306489,-2.978993158,2.420368129,2.3025850930000002,8.517193191,-1.609437912,1.732516551,6.214608097999999,5.5807486
0.2,10,0.04,-4.884884089,-3.023884865,2.3025850930000002,2.3025850930000002,8.517193191,-1.609437912,1.732516551,6.214608097999999,5.6027527
0.5,10,0.04,-3.891240466,-2.195705731,3.218875825,2.3025850930000002,6.907755279,-1.609437912,0.633904262,4.6051701860000005,1.9152014
0.2,15,0.04,-4.230851807,-2.15254571,3.113515309,2.3025850930000002,7.60090246,-2.3025850930000002,1.03936937,5.298317367,2.9240787
0.5,10,0.04,-3.597942459,-1.9139542219999999,3.218875825,2.3025850930000002,6.907755279,-2.3025850930000002,0.633904262,4.6051701860000005,1.8540692
0.5,15,0.04,-3.520656822,-1.4647489969999998,4.0298060410000005,2.3025850930000002,6.907755279,-1.609437912,0.633904262,4.6051701860000005,1.8743858
0.2,20,0.04,-4.947660495,-2.555466463,3.688879454,3.218875825,7.824046011,-1.609437912,1.5501949940000002,4.6051701860000005,4.711552
0.2,15,0.04,-5.014643315,-2.803130407,3.113515309,3.218875825,8.517193191,-2.3025850930000002,1.955660102,5.298317367,7.036196
0.5,20,0.04,-4.147745339,-1.790456319,4.6051701860000005,3.218875825,7.824046011,-1.609437912,1.5501949940000002,4.6051701860000005,4.6806192
0.5,10,0.04,-4.530062714,-2.726132709,3.218875825,3.218875825,8.517193191,-2.3025850930000002,1.955660102,5.298317367,6.931168
0.5,15,0.04,-4.390058806,-2.27789248,4.0298060410000005,3.218875825,7.824046011,-1.609437912,1.5501949940000002,4.6051701860000005,4.6351995
0.5,10,0.04,-4.688551795,-2.8481401969999998,3.218875825,3.218875825,7.824046011,-1.609437912,1.5501949940000002,4.6051701860000005,4.6847205
0.2,15,0.04,-5.014643315,-2.803130407,3.113515309,3.218875825,8.517193191,-2.3025850930000002,1.955660102,5.298317367,6.9845705
0.2,20,0.04,-4.108037888999999,-1.750609848,3.688879454,3.218875825,8.517193191,0.0,1.955660102,5.298317367,6.825386
0.5,15,0.04,-4.401413348,-2.2657518430000003,4.0298060410000005,3.218875825,9.433483922999999,-2.3025850930000002,2.648807283,6.214608097999999,14.10972
0.2,20,0.04,-4.947660495,-2.555466463,3.688879454,3.218875825,7.824046011,-1.609437912,1.5501949940000002,4.6051701860000005,4.6979036
0.2,15,0.04,-4.876978909,-2.7118775160000004,3.113515309,3.218875825,7.824046011,-2.3025850930000002,1.5501949940000002,4.6051701860000005,4.7046695
0.1,20,0.04,-3.91904762,-1.688307975,2.995732274,2.3025850930000002,7.60090246,0.0,1.03936937,5.298317367,2.8123517
0.2,15,0.04,-4.294748627,-2.194125385,3.113515309,3.218875825,8.517193191,0.0,1.955660102,5.298317367,7.039464
0.2,10,0.04,-3.695300022,-2.02286463,2.3025850930000002,2.3025850930000002,6.907755279,0.0,0.633904262,4.6051701860000005,1.9180514
