m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu
0.2,10,0.04,-4.884884089,-3.023884865,2.302585093,2.302585093,8.517193191,-1.609437912,1.732516551,6.214608098
0.5,10,0.04,-3.891240466,-2.195705731,3.218875825,2.302585093,6.907755279,-1.609437912,0.633904262,4.605170186
0.2,15,0.04,-4.230851807,-2.15254571,3.113515309,2.302585093,7.60090246,-2.302585093,1.03936937,5.298317367
0.5,10,0.04,-3.597942459,-1.913954222,3.218875825,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186
0.5,15,0.04,-3.520656822,-1.464748997,4.029806041,2.302585093,6.907755279,-1.609437912,0.633904262,4.605170186
0.2,20,0.04,-4.947660495,-2.555466463,3.688879454,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186
0.2,15,0.04,-5.014643315,-2.803130407,3.113515309,3.218875825,8.517193191,-2.302585093,1.955660102,5.298317367
0.5,20,0.04,-4.147745339,-1.790456319,4.605170186,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186
0.5,10,0.04,-4.530062714,-2.726132709,3.218875825,3.218875825,8.517193191,-2.302585093,1.955660102,5.298317367
0.5,15,0.04,-4.390058806,-2.27789248,4.029806041,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186
0.5,10,0.04,-4.688551795,-2.848140197,3.218875825,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186
0.2,15,0.04,-5.014643315,-2.803130407,3.113515309,3.218875825,8.517193191,-2.302585093,1.955660102,5.298317367
0.2,20,0.04,-4.108037889,-1.750609848,3.688879454,3.218875825,8.517193191,0,1.955660102,5.298317367
0.5,15,0.04,-4.401413348,-2.265751843,4.029806041,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098
0.2,20,0.04,-4.947660495,-2.555466463,3.688879454,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186
0.2,15,0.04,-4.876978909,-2.711877516,3.113515309,3.218875825,7.824046011,-2.302585093,1.550194994,4.605170186
0.1,20,0.04,-3.91904762,-1.688307975,2.995732274,2.302585093,7.60090246,0,1.03936937,5.298317367
0.2,15,0.04,-4.294748627,-2.194125385,3.113515309,3.218875825,8.517193191,0,1.955660102,5.298317367
0.2,10,0.04,-3.695300022,-2.02286463,2.302585093,2.302585093,6.907755279,0,0.633904262,4.605170186
0.1,5,0.04,-2.706351644,-1.815773512,0.223143551,0,4.605170186,0,-1.668680831,4.605170186
0.5,10,0.04,-2.353457423,-0.728923592,3.218875825,1.609437912,6.907755279,0,0.34622219,5.298317367
0.5,5,0.04,-2.786444269,-1.780914489,1.832581464,1.609437912,6.214608098,0,-0.059242918,4.605170186
0.2,20,0.04,-4.198372633,-1.852121126,3.688879454,3.218875825,9.433483923,0,2.648807283,6.214608098
0.5,10,0.04,-2.353457423,-0.728923592,3.218875825,1.609437912,6.907755279,0,0.34622219,5.298317367
0.1,5,0.04,-2.827171632,-1.913954222,0.223143551,0,5.298317367,0,-1.263215723,5.298317367
0.1,10,0.04,-3.658156281,-2.040651691,1.609437912,1.609437912,6.214608098,0,-0.059242918,4.605170186
0.2,10,0.04,-3.077810385,-1.465943813,2.302585093,1.609437912,6.214608098,0,-0.059242918,4.605170186
0.1,15,0.04,-4.190415031,-2.155131072,2.420368129,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367
0.5,20,0.08,-3.654284809,-1.411833732,4.605170186,1.609437912,6.907755279,-2.302585093,1.03936937,5.298317367
0.5,20,0.08,-4.385231766,-2.00556674,4.605170186,2.302585093,8.517193191,-2.302585093,2.425663731,6.214608098
0.1,20,0.04,-3.986746552,-1.760051522,2.995732274,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367
0.1,20,0.04,-3.802272141,-1.618337396,2.995732274,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186
0.1,15,0.08,-3.669861448,-2.002954687,2.420368129,0,6.214608098,-2.302585093,0.123078638,6.214608098
0.1,15,0.04,-4.190415031,-2.155131072,2.420368129,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367
0.1,15,0.04,-4.022954566,-2.028626762,2.420368129,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186
0.5,10,0.08,-2.75986995,-1.25650195,3.218875825,0,5.298317367,-2.302585093,-0.570068542,5.298317367
0.5,10,0.04,-4.530062714,-2.726132709,3.218875825,3.218875825,8.517193191,-2.302585093,1.955660102,5.298317367
0.2,20,0.08,-4.195713057,-1.992046238,3.688879454,1.609437912,6.214608098,-2.302585093,0.633904262,4.605170186
0.1,10,0.04,-3.135914304,-1.656634347,1.609437912,0,4.605170186,-1.609437912,-1.668680831,4.605170186
