id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,tp,v2,AB
272,0.04,0.2,0.1,10,1000,5,200,66.66666667,1.2994,0.00838,5.0,0.251327412,19.89436789,0.05197600000000001,100.0,1.413716694115407
180,0.08,0.1,0.5,20,2000,10,200,66.66666667,1.8568,0.014119999999999999,100.0,4.021238597,24.86795986,0.148544,400.0,5.654866776461628
137,0.04,0.1,0.2,10,1000,10,100,33.33333333,1.7808,0.01256,10.0,0.502654825,19.89436789,0.071232,100.0,1.8849555921538759
217,0.08,0.1,0.5,20,5000,10,500,166.66666669999998,1.6823,0.012459999999999999,100.0,4.021238597,24.86795986,0.134584,400.0,11.309733552923255
63,0.04,0.0,0.2,10,2000,10,200,66.66666667,3.0129,0.0225,10.0,0.502654825,19.89436789,0.12051600000000001,100.0,2.827433388230814
139,0.04,0.1,0.2,20,1000,10,100,33.33333333,5.4411,0.02204,40.0,0.502654825,79.57747155,0.21764399999999998,400.0,1.8849555921538759
211,0.04,0.1,0.2,10,5000,10,500,166.66666669999998,1.4897,0.009640000000000001,10.0,0.502654825,19.89436789,0.059588,100.0,5.654866776461628
178,0.04,0.1,0.5,15,2000,10,200,66.66666667,6.3357,0.03224,56.25,0.502654825,111.90581940000001,0.253428,225.0,2.827433388230814
64,0.04,0.0,0.2,15,2000,10,200,66.66666667,5.5938,0.029480000000000003,22.5,0.502654825,44.76232774,0.223752,225.0,2.827433388230814
211,0.04,0.1,0.2,10,5000,10,500,166.66666669999998,1.4897,0.009640000000000001,10.0,0.502654825,19.89436789,0.059588,100.0,5.654866776461628
26,0.04,0.0,0.2,10,1000,10,100,33.33333333,3.3069,0.02484,10.0,0.502654825,19.89436789,0.132276,100.0,1.8849555921538759
142,0.04,0.1,0.5,20,1000,10,100,33.33333333,13.0562,0.052579999999999995,100.0,0.502654825,198.9436789,0.522248,400.0,1.8849555921538759
222,0.04,0.1,0.5,20,12500,25,500,166.66666669999998,4.0382,0.01486,100.0,1.256637061,79.57747155,0.161528,400.0,14.137166941154069
70,0.04,0.0,0.2,15,5000,25,200,66.66666667,2.7864,0.013640000000000001,22.5,1.256637061,17.904931100000002,0.111456,225.0,7.0685834705770345
146,0.04,0.1,0.5,10,2500,25,100,33.33333333,1.8097,0.01228,25.0,1.256637061,19.89436789,0.07238800000000001,100.0,4.71238898038469
218,0.04,0.1,0.2,15,12500,25,500,166.66666669999998,1.3959,0.0058200000000000005,22.5,1.256637061,17.904931100000002,0.055836,225.0,14.137166941154069
184,0.04,0.1,0.5,15,5000,25,200,66.66666667,2.9221,0.014119999999999999,56.25,1.256637061,44.76232774,0.116884,225.0,7.0685834705770345
294,0.04,0.2,0.5,10,5000,25,200,66.66666667,1.3172,0.0081,25.0,1.256637061,19.89436789,0.052688,100.0,7.0685834705770345
184,0.04,0.1,0.5,15,5000,25,200,66.66666667,2.9221,0.014119999999999999,56.25,1.256637061,44.76232774,0.116884,225.0,7.0685834705770345
332,0.04,0.2,0.5,15,12500,25,500,166.66666669999998,1.9199,0.008879999999999999,56.25,1.256637061,44.76232774,0.076796,225.0,14.137166941154069
330,0.04,0.2,0.2,20,12500,25,500,166.66666669999998,1.5167,0.00496,40.0,1.256637061,31.83098862,0.060668,400.0,14.137166941154069
107,0.04,0.0,0.2,15,12500,25,500,166.66666669999998,2.5269,0.01256,22.5,1.256637061,17.904931100000002,0.101076,225.0,14.137166941154069
110,0.04,0.0,0.5,15,12500,25,500,166.66666669999998,5.2543,0.026000000000000002,56.25,1.256637061,44.76232774,0.210172,225.0,14.137166941154069
67,0.04,0.0,0.5,15,2000,10,200,66.66666667,12.7455,0.06736,56.25,0.502654825,111.90581940000001,0.50982,225.0,2.827433388230814
93,0.04,0.0,0.5,5,2500,5,500,166.66666669999998,3.525,0.05144,6.25,0.251327412,24.86795986,0.141,25.0,2.827433388230814
1,0.04,0.0,0.1,5,100,1,100,33.33333333,4.0678,0.06677999999999999,1.25,0.050265482,24.86795986,0.162712,25.0,0.1884955592153876
64,0.04,0.0,0.2,15,2000,10,200,66.66666667,5.5938,0.029480000000000003,22.5,0.502654825,44.76232774,0.223752,225.0,2.827433388230814
63,0.04,0.0,0.2,10,2000,10,200,66.66666667,3.0129,0.0225,10.0,0.502654825,19.89436789,0.12051600000000001,100.0,2.827433388230814
79,0.04,0.0,0.5,5,500,1,500,166.66666669999998,17.9248,0.26464,6.25,0.050265482,124.3397993,0.7169920000000001,25.0,0.5654866776461628
108,0.04,0.0,0.2,20,12500,25,500,166.66666669999998,3.9226,0.015019999999999999,40.0,1.256637061,31.83098862,0.15690400000000002,400.0,14.137166941154069
75,0.04,0.0,0.1,5,500,1,500,166.66666669999998,3.4095,0.054479999999999994,1.25,0.050265482,24.86795986,0.13638,25.0,0.5654866776461628
